Origin_ID;Origin_NAME;Origin_N_Displ;Origin_N_Receiv;Origin_LAT;Origin_LNG;Destin_ID;Destin_NAME;Destin_N_Displ;Destin_N_Receiv;Destin_LAT;Destin_LNG;Count
47030;ALGARROBO;5787;2092;10.184497;-74.060668;20001;VALLEDUPAR;32436;83963;10.461893;-73.258517;309
47030;ALGARROBO;5787;2092;10.184497;-74.060668;8758;SOLEDAD;2405;62128;10.90618;-74.793567;283
47030;ALGARROBO;5787;2092;10.184497;-74.060668;47053;ARACATACA;17971;5519;10.590848;-74.186293;266
47030;ALGARROBO;5787;2092;10.184497;-74.060668;20060;BOSCONIA;7381;11271;9.974372;-73.888042;230
47030;ALGARROBO;5787;2092;10.184497;-74.060668;20238;EL COPEY;18111;2306;10.149132;-73.96137;103
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41001;NEIVA;8289;61885;2.935546;-75.277946;5254
41020;ALGECIRAS;14786;956;2.522556;-75.315695;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;3337
41020;ALGECIRAS;14786;956;2.522556;-75.315695;73001;IBAGUÉ;10112;75833;4.439631;-75.19635;659
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41132;CAMPOALEGRE;3008;4209;2.68418;-75.326035;449
41020;ALGECIRAS;14786;956;2.522556;-75.315695;25754;SOACHA;2702;55044;4.576529;-74.215511;370
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41551;PITALITO;8053;29612;1.853056;-76.049263;286
41020;ALGECIRAS;14786;956;2.522556;-75.315695;76001;SANTIAGO DE CALI;17084;148077;3.417587;-76.522332;192
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41298;GARZÓN;6176;11020;2.195653;-75.626738;189
41020;ALGECIRAS;14786;956;2.522556;-75.315695;50001;VILLAVICENCIO;7725;107365;4.122958;-73.626878;170
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41306;GIGANTE;5021;2972;2.387831;-75.545729;166
41020;ALGECIRAS;14786;956;2.522556;-75.315695;18001;FLORENCIA;26683;109520;1.617334;-75.60689;142
41020;ALGECIRAS;14786;956;2.522556;-75.315695;63001;ARMENIA;1973;24515;4.538105;-75.680004;125
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41615;RIVERA;1412;2191;2.777897;-75.254859;124
41020;ALGECIRAS;14786;956;2.522556;-75.315695;41396;LA PLATA;5471;4500;2.389328;-75.891112;105
19022;ALMAGUER;4520;127;1.914278;-76.854924;19001;POPAYÁN;4522;110174;2.447699;-76.624469;2129
19022;ALMAGUER;4520;127;1.914278;-76.854924;76001;SANTIAGO DE CALI;17084;148077;3.417587;-76.522332;542
19022;ALMAGUER;4520;127;1.914278;-76.854924;41551;PITALITO;8053;29612;1.853056;-76.049263;253
19022;ALMAGUER;4520;127;1.914278;-76.854924;41668;SAN AGUSTÍN;4633;2560;1.881472;-76.270814;211
19022;ALMAGUER;4520;127;1.914278;-76.854924;41298;GARZÓN;6176;11020;2.195653;-75.626738;134
19022;ALMAGUER;4520;127;1.914278;-76.854924;19807;TIMBÍO;4463;4360;2.352227;-76.682831;113
73024;ALPUJARRA;1404;194;3.3918;-74.932566;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;494
73024;ALPUJARRA;1404;194;3.3918;-74.932566;73001;IBAGUÉ;10112;75833;4.439631;-75.19635;309
41026;ALTAMIRA;248;447;2.063409;-75.788656;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;118
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;47245;EL BANCO;7469;10183;8.998318;-73.979392;1806
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;13430;MAGANGUÉ;12537;41642;9.241367;-74.755668;945
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;8001;BARRANQUILLA;5939;117739;10.979459;-74.816835;765
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;13001;CARTAGENA DE INDIAS;12945;121634;10.398816;-75.501229;747
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;13549;PINILLOS;6694;2077;8.914779;-74.461872;495
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;11001;BOGOTÁ, D.C.;7290;536598;4.650528;-74.105972;467
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;68081;BARRANCABERMEJA;28240;49094;7.067976;-73.846686;449
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;8758;SOLEDAD;2405;62128;10.90618;-74.793567;313
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;20001;VALLEDUPAR;32436;83963;10.461893;-73.258517;293
13030;ALTOS DEL ROSARIO;8931;715;8.792466;-74.165235;13074;BARRANCO DE LOBA;9974;703;8.946019;-74.106215;189
